"m49_code","country","region","cpc_code","commodity","year","loss_percentage","loss_percentage_original","loss_quantity","activity","food_supply_stage","treatment","cause_of_loss","sample_size","method_data_collection","reference","url","notes"
"356","India",,"0231","Hen eggs in shell, fresh",2006,0.98,"0.98",,"Packaging","Farm",,,,"Survey","ICAR - S.K. Nanda, P.K. Vishwakarma","https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India",
"356","India",,"0231","Hen eggs in shell, fresh",2006,1.83,"1.83",,"Transportation","Transport",,"","","Survey","ICAR - S.K. Nanda, P.K. Vishwakarma","https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India",""
"356","India",,"0231","Hen eggs in shell, fresh",2006,2.07,"2.07",,"Processing","Storage",,,,"Survey","ICAR - S.K. Nanda, P.K. Vishwakarma","https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India",
"356","India",,"0231","Hen eggs in shell, fresh",2006,2.08,"2.08",,"Collection","Farm",,,,"Survey","ICAR - S.K. Nanda, P.K. Vishwakarma","https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India",
"356","India",,"0231","Hen eggs in shell, fresh",2006,0.76,"0.76",,"Storage","Storage",,"","","Survey","ICAR - S.K. Nanda, P.K. Vishwakarma","https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India",""
"356","India",,"0231","Hen eggs in shell, fresh",2006,1.72,"1.72",,"Wholesale","Storage",,,,"Survey","ICAR - S.K. Nanda, P.K. Vishwakarma","https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India",
"356","India",,"0231","Hen eggs in shell, fresh",2006,1.73,"1.73",,"Retailing","Storage",,,,"Survey","ICAR - S.K. Nanda, P.K. Vishwakarma","https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India",
"356","India",,"21111.01","Meat of cattle with the bone, fresh or chilled",2006,1.36,"1.36",,"Harvesting","Harvest",,,,"Survey","ICAR - S.K. Nanda, P.K. Vishwakarma","https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India",
"356","India",,"21111.01","Meat of cattle with the bone, fresh or chilled",2006,0.81,"0.81",,"Retailing","Storage",,,,"Survey","ICAR - S.K. Nanda, P.K. Vishwakarma","https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India",
"356","India",,"21111.01","Meat of cattle with the bone, fresh or chilled",2006,0.98,"0.98",,"Wholesale","Storage",,,,"Survey","ICAR - S.K. Nanda, P.K. Vishwakarma","https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India",
"400","Jordan",,"21121","Meat of chickens, fresh or chilled",2013,5,"5",,,"Farm",,"","","Expert Opinion","Al-Sharafat et al (2013)","http://www.mod.gov.tr/Lists/RecentPublications/Attachments/120/Reducing%20Postharvest%20Losses%20in%20the%20OIC%20Member%20Countries.pdf","Sourced from Al-Sharafat et al (2013)"
"404","Kenya",,"22290","Dairy products n.e.c.",2012,0.1,"0.1",,,"Processing",,"Milk rejected by the processor",,"Expert Opinion","Hezekiah G. Muriuki & Joyce M. Kiio-Mutua","http://www.fao.org/fileadmin/user_upload/save-food/PDF/Kenya_Food_Loss_Studies.pdf",
"404","Kenya",,"22290","Dairy products n.e.c.",2012,0.1,"0.1",,,"Trader",,"Transport 50 - 300 ltr of milk per day on motorbikes",,"Expert Opinion","Hezekiah G. Muriuki & Joyce M. Kiio-Mutua","http://www.fao.org/fileadmin/user_upload/save-food/PDF/Kenya_Food_Loss_Studies.pdf",
"404","Kenya",,"22290","Dairy products n.e.c.",2012,0.6,"0.6",,,"Wholesale",,"With milk cooling system, but expensive and unreliable power supply",,"Expert Opinion","Hezekiah G. Muriuki & Joyce M. Kiio-Mutua","http://www.fao.org/fileadmin/user_upload/save-food/PDF/Kenya_Food_Loss_Studies.pdf",
"404","Kenya",,"22290","Dairy products n.e.c.",2012,0.2,"0.2",,,"Wholesale",,"aluminium milk containers and cooling facility",,"Expert Opinion","Hezekiah G. Muriuki & Joyce M. Kiio-Mutua","http://www.fao.org/fileadmin/user_upload/save-food/PDF/Kenya_Food_Loss_Studies.pdf",
"404","Kenya",,"22290","Dairy products n.e.c.",2012,0.6,"0.6",,,"Wholesale",,"No cooling facility",,"Expert Opinion","Hezekiah G. Muriuki & Joyce M. Kiio-Mutua","http://www.fao.org/fileadmin/user_upload/save-food/PDF/Kenya_Food_Loss_Studies.pdf",
